,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
165,nemuro,2128975,43.32,25.8,36,100,21.03
166,lamballe,3008225,48.47,44.6,90,81,6.93
167,mahebourg,934322,-20.41,82.4,75,83,12.75
168,kirakira,2178753,-10.46,81.06,76,100,13.42
169,victoria,1733782,5.28,82.4,75,88,5.82
170,tuatapere,2180815,-46.13,55.05,44,100,12.86
171,lazurne,713743,46.77,27.74,92,92,9.62
172,castro,3896218,-42.48,62.6,75,45,9.17
173,baraboo,5244638,43.47,35.42,1,80,11.41
174,kloulklubed,7671223,7.04,78.8,75,83,5.82
175,marsala,2524245,37.8,48.2,20,93,4.7
176,nikolskoye,546105,59.7,21.2,75,85,4.47
177,lalitpur,1265157,24.69,54.92,0,75,8.72
178,ancud,3899695,-41.87,62.6,75,45,9.17
179,sola,3137942,58.89,42.8,90,100,18.34
180,nola,2383827,3.52,78.77,0,60,4.14
181,zhezkazgan,1516589,47.8,14.46,88,87,9.28
182,viedma,3832899,-40.81,79.89,0,35,8.39
183,faanui,4034551,-16.48,82.5,68,100,12.64
184,wukari,2318921,7.87,85.52,0,21,10.74
185,east london,1006984,-33.02,71.6,40,73,6.93
186,grindavik,3416888,63.84,41.0,90,93,19.46
187,laguna,4013704,27.52,60.8,90,77,9.17
188,walvis bay,3359638,-22.95,64.14,0,100,7.38
189,mengcheng,1800764,33.26,24.27,48,75,2.8
190,saint-leu,6690297,-21.15,82.4,0,74,3.36
191,ziro,1252668,27.54,35.07,0,72,1.68
192,lagoa,2267254,37.14,60.8,0,63,5.82
193,eldorado,4007812,24.32,71.6,75,56,4.7
194,lavrentiya,4031637,65.58,5.01,0,86,24.05
195,taltal,3870243,-25.41,72.02,0,56,4.36
196,ust-nera,2120048,64.57,-60.15,8,0,1.68
197,lorengau,2092164,-2.02,84.48,56,95,16.78
198,arbuzynka,713222,47.91,18.96,56,82,10.63
199,sambava,1056899,-14.27,79.62,68,100,9.4
200,filadelfia,3867291,-22.35,93.75,80,55,19.24
201,butterworth,1735076,5.4,80.6,75,88,3.36
202,pala,1272022,9.71,73.4,0,83,4.7
203,halifax,6324729,44.65,32.0,90,97,24.16
204,atbasar,1526038,51.81,12.39,92,84,10.63
205,huangnihe,2036734,43.56,-12.86,12,58,2.35
206,buala,2109528,-8.15,80.07,48,99,8.72
207,emerald,2167426,-23.53,75.2,0,73,4.7
208,kapit,1737185,2.02,72.24,80,98,2.24
209,marand,124862,38.43,37.4,20,74,4.7
210,oranjemund,3354071,-28.55,63.87,0,89,13.09
211,vasudevanallur,1253357,9.24,64.55,0,80,3.24
212,bredasdorp,1015776,-34.53,73.4,0,56,12.75
213,baker city,5712169,44.77,37.04,1,61,6.93
214,salinas,5391295,36.67,51.98,1,81,10.29
215,banda aceh,1215502,5.56,75.35,88,100,2.13
216,adrar,2508813,27.87,62.6,0,29,12.75
217,barcelos,2742416,41.53,53.6,0,71,6.93
218,necochea,3430443,-38.55,86.01,20,70,13.53
219,seydi,2448024,13.34,77.0,64,11,13.87
220,lieksa,648090,63.32,22.07,88,87,5.59
221,nishihara,1850144,35.74,39.2,20,44,9.17
222,jaisinghnagar,1264542,23.63,58.11,0,58,11.97
223,iqaluit,5983720,63.75,-16.61,90,75,4.7
224,kimbe,2093967,-5.56,76.56,92,100,10.74
225,khudumelapye,933562,-23.91,79.85,0,40,7.61
226,simao,1794209,22.76,53.07,92,91,2.13
227,provideniya,4031574,64.42,6.95,68,100,27.51
228,dalbandin,1180729,28.9,41.73,0,81,4.03
229,sur,286245,22.57,71.97,0,100,8.95
230,poli,2222539,8.48,73.14,8,35,3.69
231,hofn,2630299,64.25,37.4,20,74,5.82
232,nelson bay,2155562,-32.72,68.0,90,100,8.05
233,chiang rai,1153669,19.9,71.6,20,94,2.13
234,arraial do cabo,3471451,-22.97,93.2,0,62,18.34
235,dongying,1812101,37.43,15.05,0,61,2.91
236,nairobi,184745,-1.28,69.8,20,64,11.41
237,isangel,2136825,-19.55,77.42,92,100,19.69
238,dongsheng,1788268,29.72,36.87,92,94,6.6
239,bandarbeyla,64814,9.49,76.34,32,100,19.13
240,sal rei,3374235,16.18,80.6,0,39,11.41
241,hualmay,3939761,-11.1,76.92,0,65,5.14
242,pierre,5767918,44.37,30.02,90,100,13.87
243,araouane,2460954,18.9,69.45,8,21,6.82
244,petropavlovsk-kamchatskiy,2122104,53.05,6.8,44,60,6.71
245,richards bay,962367,-28.77,72.47,88,80,9.4
246,jalu,86049,29.03,51.14,0,56,8.39
247,sulangan,1685422,11.14,79.35,12,100,19.46
248,ogawara,2112527,38.05,39.39,80,100,14.43
249,bondo,218253,3.81,77.1,24,85,1.68
250,saint-augustin,3031582,44.83,39.2,90,69,5.82
251,narragansett,5225535,41.45,46.94,90,67,12.75
252,itarema,3393692,-2.92,86.73,56,66,14.65
253,acapulco,3533462,16.86,86.0,5,58,2.24
254,udachnyy,2014624,66.42,-11.46,32,54,4.7
255,flinders,6255012,-34.58,62.6,90,93,4.7
256,vestmannaeyjar,3412093,63.44,41.0,75,93,13.87
257,quelimane,1028434,-17.88,82.86,20,74,6.15
258,ostersund,2685750,63.18,37.4,40,86,19.46
259,chernyshevskiy,2025456,63.01,-3.18,44,61,10.4
260,quatre cocos,1106643,-20.21,82.4,75,83,12.75
261,novopavlovka,2018896,51.21,-6.29,48,66,4.7
262,salalah,286621,17.01,77.0,40,73,3.36
263,puno,3931276,-15.84,60.8,0,29,5.82
264,souillac,3026644,45.6,39.2,90,81,5.82
265,kahului,5847411,20.89,69.8,20,86,5.82
266,wagga wagga,2145110,-35.12,66.2,0,59,10.29
267,roma,6539761,41.89,48.2,0,57,6.93
268,borogontsy,2026160,62.67,-31.76,48,0,4.7
269,comodoro rivadavia,3860443,-45.87,69.8,75,16,16.11
270,chokurdakh,2126123,70.62,-38.01,8,0,2.91
271,oksfjord,778362,70.24,41.0,75,100,48.32
272,clovis,5338122,36.83,50.0,40,100,11.41
273,djambala,2260401,-2.55,71.61,76,94,4.59
274,tura,1254046,25.52,49.52,0,79,3.13
275,voyinka,689307,45.87,29.9,88,96,7.72
276,gerash,133595,27.67,53.6,0,46,2.13
277,omsukchan,2122493,62.53,-35.85,56,0,2.68
278,ubinskoye,1488708,55.31,9.78,36,83,17.45
279,liverpool,2644210,53.41,50.0,90,81,1.12
280,ponta do sol,3453439,-20.63,74.45,12,100,5.48
281,pershotravneve,697183,50.29,16.49,36,82,10.29
282,ha giang,1581349,22.83,59.37,92,98,1.9
283,lebu,344979,8.96,44.7,0,45,3.69
284,mana,789988,43.52,30.2,90,92,11.41
285,tecoanapa,3532499,16.99,86.0,5,58,2.24
286,nanning,1799869,22.83,51.8,90,93,4.47
287,evensk,2125693,61.92,11.22,12,100,25.39
288,severo-kurilsk,2121385,50.68,23.37,12,100,21.03
289,zarubino,2012646,42.65,7.35,12,100,4.25
290,hastings,2190224,-39.64,67.92,0,86,9.95
291,katsuura,1865309,33.93,41.0,40,98,5.82
292,sioux lookout,6148373,50.1,12.2,90,72,12.75
293,mao,3496831,19.55,86.0,40,58,18.34
294,nabire,1634614,-3.36,68.73,92,100,1.9
295,luklukan,1705276,14.33,79.17,92,100,20.24
296,haines junction,5969025,60.75,-32.79,0,0,2.01
297,mayya,2020121,61.74,-29.21,56,66,6.71
298,karatau,1519938,43.18,13.7,0,59,3.36
299,taber,6160919,49.79,37.4,75,69,10.29
300,hovd,7626384,63.83,42.8,75,93,20.8
301,caravelas,3466980,-17.73,80.34,0,100,13.98
302,koyelga,1502280,54.65,3.39,0,63,7.61
303,grants pass,5729080,42.44,37.04,75,99,2.24
304,yulara,6355222,-25.24,73.4,20,26,8.05
305,eyrarbakki,3413604,63.86,41.0,75,75,13.87
306,mosquera,3674292,4.71,66.2,40,45,4.7
307,neuquen,3843123,-38.95,84.2,0,20,13.87
308,tuktoyaktuk,6170031,69.44,-0.41,90,84,8.05
309,la serena,3884373,-29.9,71.6,20,49,16.11
310,tessalit,2449893,20.2,66.62,36,18,3.91
311,merauke,2082539,-8.49,74.76,92,100,12.3
312,dobryanka,565778,58.45,17.6,75,92,6.71
313,kaeo,2189343,-35.1,54.02,32,86,2.68
314,cangzhou,1816080,38.3,14.73,24,62,2.8
315,faya,110690,18.39,62.6,40,67,5.82
316,norman wells,6089245,65.28,-5.81,90,76,5.82
317,margate,2158744,-43.03,55.4,75,66,6.93
318,carutapera,3402648,-1.2,82.14,68,86,7.49
319,aklavik,5882953,68.22,-4.01,90,76,6.93
320,immokalee,4159553,26.42,71.6,1,60,3.36
321,planos,255096,37.82,48.2,40,75,3.36
322,san carlos,3628503,9.66,91.32,8,40,11.3
323,nuuk,3421319,64.17,32.0,90,92,25.28
324,popondetta,2088163,-8.77,67.52,36,91,2.13
325,launceston,2160517,-41.43,53.6,0,66,11.41
326,chabahar,1161724,25.29,72.15,0,100,6.6
327,bodden town,3580733,19.28,82.4,75,83,5.82
328,eenhana,3357804,-17.48,84.89,0,33,4.14
329,chicama,3698359,-7.84,77.0,75,78,10.29
330,fort morgan,5577158,40.25,41.0,32,54,8.05
331,aksarka,1512019,66.56,0.2,80,74,14.99
332,kemise,333356,10.72,36.65,0,62,1.9
333,moussoro,2427336,13.64,72.24,0,20,12.19
334,nezhinka,522312,51.77,14.0,90,85,2.24
335,jijiga,333795,9.35,47.0,0,67,2.68
336,jumla,1283285,29.28,21.21,92,100,1.9
337,urbano santos,3385726,-3.2,82.32,92,85,9.95
338,estelle,4671240,32.87,60.8,75,59,18.34
339,tiznit,2527089,29.7,59.73,0,60,3.24
340,yarkovo,1486371,54.81,10.4,44,85,13.42
341,santa vitoria do palmar,3449747,-33.52,86.37,20,71,11.18
342,labuan,1733782,5.28,82.4,75,88,5.82
343,mezhdurechenskiy,1498919,59.59,15.27,76,81,5.59
344,yiyang,1808316,28.59,39.44,92,100,6.71
345,jinji,1811729,22.16,59.69,92,92,3.24
346,bar-le-duc,3034911,48.77,39.2,90,86,3.36
347,paramonga,3933024,-10.68,70.08,0,100,6.49
348,colac,2171069,-38.34,52.4,0,98,2.57
349,karangasem,1646170,-6.7,81.92,32,100,5.14
350,marsh harbour,3571913,26.54,73.37,8,100,6.04
351,mehamn,778707,71.03,42.8,75,93,26.4
352,hobyo,57000,5.35,77.01,0,80,17.45
353,palmeira das missoes,3455416,-27.9,76.11,76,96,6.93
354,port lincoln,2063036,-34.72,61.89,80,100,9.73
355,noumea,2139521,-22.28,68.0,75,77,12.41
356,feijo,3658195,-3.63,89.6,40,55,4.7
357,puerto escondido,3520994,15.86,80.6,5,74,6.93
358,cleethorpes,2652885,53.56,50.0,90,87,3.36
359,plettenberg bay,964712,-34.05,66.62,44,100,11.74
360,mabaruma,3377301,8.2,82.37,68,73,10.18
